,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
0,EC,28/08/2023,15:00,Barnet,Ebbsfleet,,,,,,,1.95,3.6,3.6,1.88,3.4,3.3,1.95,3.45,3.4,2.01,3.81,3.5,1.91,3.3,3.4,1.87,3.4,3.4,2.01,3.9,3.6,1.95,3.61,3.43,1.73,2.08,1.76,2.09,1.76,2.2,1.7,2.06,-0.5,1.95,1.85,2.01,1.85,2.01,1.9,1.93,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EC,28/08/2023,15:00,Bromley,Southend,,,,,,,3.75,3.5,1.95,3.2,3.2,2.0,3.4,3.25,2.05,3.75,3.48,2.03,3.2,3.1,2.05,3.3,3.25,1.95,3.75,3.5,2.15,3.48,3.36,2.01,1.98,1.83,1.99,1.85,2.02,1.85,1.93,1.8,0.25,2.08,1.73,2.12,1.75,2.12,1.81,2.03,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,EC,28/08/2023,15:00,Chesterfield,Hartlepool,,,,,,,1.75,3.8,4.2,1.73,3.6,3.75,1.77,3.65,4.0,1.76,4.22,4.1,1.67,3.6,3.9,1.7,3.7,3.8,1.8,4.22,4.25,1.75,3.88,3.96,1.62,2.25,1.62,2.33,1.66,2.33,1.61,2.22,-0.75,1.98,1.83,1.98,1.88,2.06,1.88,1.95,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EC,28/08/2023,15:00,Eastleigh,Aldershot,,,,,,,2.45,3.4,2.8,2.3,3.2,2.6,2.35,3.2,2.7,2.47,3.51,2.82,2.38,3.0,2.75,2.3,3.25,2.63,2.47,3.51,2.82,2.38,3.35,2.73,1.83,1.98,1.85,1.98,1.85,2.01,1.8,1.93,-0.25,2.08,1.73,2.13,1.74,2.13,1.81,2.06,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,EC,28/08/2023,15:00,Fylde,Altrincham,,,,,,,2.45,3.6,2.7,2.25,3.4,2.6,2.35,3.45,2.6,2.45,3.73,2.72,2.05,3.2,3.1,2.3,3.3,2.6,2.45,3.73,2.75,2.36,3.57,2.65,1.67,2.15,1.7,2.18,1.7,2.2,1.65,2.15,0.0,1.8,2.0,1.83,2.04,1.85,2.09,1.78,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,EC,28/08/2023,15:00,Halifax,Gateshead,,,,,,,2.7,3.5,2.45,2.55,3.2,2.4,2.65,3.25,2.4,2.79,3.51,2.49,2.62,3.0,2.45,2.7,3.2,2.3,2.8,3.53,2.5,2.71,3.36,2.41,1.88,1.93,1.89,1.94,1.94,1.95,1.85,1.89,0.0,2.0,1.8,2.04,1.82,2.11,1.84,1.99,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,EC,28/08/2023,15:00,Kidderminster,Maidenhead,,,,,,,1.91,3.75,3.75,1.93,3.2,3.4,2.0,3.3,3.45,1.98,3.5,3.93,2.1,3.0,3.2,2.0,3.1,3.4,2.1,3.75,3.93,1.98,3.37,3.59,1.93,1.88,2.13,1.74,2.13,1.88,2.04,1.71,-0.5,1.9,1.9,1.98,1.88,2.09,1.9,1.95,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,EC,28/08/2023,15:00,Oldham,Solihull,,,,,,,1.95,3.6,3.6,1.87,3.4,3.3,1.97,3.45,3.3,1.9,3.98,3.72,1.95,3.25,3.25,1.85,3.4,3.5,1.97,3.98,3.72,1.9,3.7,3.51,1.7,2.1,1.72,2.14,1.72,2.2,1.68,2.09,-0.5,1.93,1.88,1.9,1.95,1.96,1.95,1.88,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,EC,28/08/2023,15:00,Oxford City,Boreham Wood,,,,,,,3.75,3.4,2.0,3.2,3.1,2.05,3.25,3.2,2.05,3.48,3.47,2.13,3.2,2.9,2.15,3.3,3.13,2.0,3.75,3.47,2.13,3.37,3.33,2.07,2.03,1.78,2.09,1.76,2.12,1.81,2.01,1.74,0.25,2.05,1.75,2.02,1.83,2.12,1.83,1.98,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,EC,28/08/2023,15:00,Wealdstone,Dag and Red,,,,,,,2.25,3.4,3.1,2.15,3.3,2.8,2.25,3.3,2.9,2.25,3.77,2.98,2.15,3.0,3.1,2.1,3.3,2.9,2.25,3.77,3.1,2.2,3.49,2.94,1.75,2.05,1.76,2.08,1.83,2.08,1.74,2.01,-0.25,1.95,1.85,1.97,1.88,2.0,1.95,1.92,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
