,Div,Home Team,Away Team,Home Prob,Away Prob,Draw Prob,Fair Home Odd,Fair Draw Odd,Fair Away Odd
49,D1,Leverkusen,Darmstadt,0.69,0.22,0.09,1.46,10.98,4.47
1,D1,Ein Frankfurt,FC Koln,0.45,0.35,0.19,2.2,5.25,2.82
2,D1,Union Berlin,RB Leipzig,0.35,0.48,0.17,2.84,5.91,2.09
52,D1,M'gladbach,Bayern Munich,0.24,0.68,0.08,4.2,11.98,1.47
51,D1,Werder Bremen,Mainz,0.42,0.42,0.16,2.4,6.12,2.38
50,D1,Stuttgart,Freiburg,0.47,0.4,0.13,2.12,7.61,2.53
47,D1,Augsburg,Bochum,0.45,0.37,0.19,2.24,5.32,2.74
48,D1,Hoffenheim,Wolfsburg,0.43,0.42,0.16,2.35,6.43,2.39
165,D1,Dortmund,Heidenheim,0.7,0.21,0.09,1.43,11.14,4.73
53,D2,Holstein Kiel,Paderborn,0.46,0.38,0.16,2.17,6.24,2.63
166,D2,Braunschweig,St Pauli,0.34,0.51,0.15,2.91,6.71,1.97
54,D2,Magdeburg,Hertha,0.46,0.41,0.13,2.19,7.48,2.45
56,D2,Kaiserslautern,Nurnberg,0.47,0.38,0.14,2.11,6.91,2.62
5,D2,Osnabruck,Elversberg,0.43,0.4,0.16,2.3,6.17,2.48
4,D2,Hamburg,Hansa Rostock,0.58,0.29,0.13,1.71,7.91,3.46
3,D2,Greuther Furth,Hannover,0.53,0.33,0.14,1.88,7.36,3.01
167,D2,Fortuna Dusseldorf,Karlsruhe,0.45,0.38,0.17,2.24,5.77,2.63
55,D2,Wehen,Schalke 04,0.37,0.47,0.16,2.7,6.32,2.12
61,E0,Man City,Fulham,0.7,0.21,0.09,1.42,11.37,4.81
62,E0,Brighton,Newcastle,0.46,0.41,0.13,2.16,7.94,2.44
57,E0,Sheffield United,Everton,0.37,0.45,0.18,2.69,5.65,2.22
58,E0,Brentford,Bournemouth,0.59,0.3,0.11,1.69,9.46,3.32
59,E0,Burnley,Tottenham,0.34,0.5,0.17,2.98,5.9,2.02
60,E0,Chelsea,Nott'm Forest,0.67,0.24,0.1,1.5,10.21,4.25
168,E0,Luton,West Ham,0.39,0.49,0.12,2.58,8.45,2.02
8,E0,Arsenal,Man United,0.5,0.32,0.19,2.01,5.35,3.16
7,E0,Liverpool,Aston Villa,0.54,0.3,0.17,1.86,6.05,3.38
6,E0,Crystal Palace,Wolves,0.48,0.35,0.17,2.11,5.86,2.82
72,E1,Rotherham,Norwich,0.33,0.5,0.16,2.99,6.17,1.99
73,E1,Stoke,Preston,0.48,0.35,0.17,2.09,5.74,2.88
74,E1,West Brom,Huddersfield,0.57,0.31,0.12,1.75,8.66,3.21
69,E1,Leicester,Hull,0.57,0.32,0.11,1.76,9.1,3.09
68,E1,Leeds,Sheffield Weds,0.6,0.25,0.15,1.68,6.58,3.97
65,E1,Swansea,Bristol City,0.47,0.36,0.17,2.11,5.92,2.8
66,E1,Coventry,Watford,0.46,0.37,0.17,2.19,5.91,2.67
